Product,Name,Rating,CommentHead,Comment
iphone7,Kishore Gagan,5,Brilliant,Perfect mobile for iOS lovers
iphone7,Flipkart Customer,5,Must buy!,Camera quality 🔥🔥🔥🔥🔥
iphone7,Neeladri  V,5,Great product,Nice product . u will feel the difference.
iphone7,Sharukh Khan,5,Classy product,Too good luv it🖤 iPhone is only camera lovers 💋
iphone7,Hemanta Sa,5,Worth every penny,Thank u Flipkart for your fast delivery. It is awesome and very very nice.I like this very much.
iphone7,Gracie Grace,4,Pretty good,It was as expected ❤
iphone7,Gaurav Paliwal,5,Awesome,Great
iphone7,Rashmi pathak,5,Super!,no words to say best  phone used ever
iphone7,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍"
iphone7,Nitin Singh,5,Great product,Great....
iphone7,No Name,No Rating,No Comment Heading,No Comment
