Product,Name,Rating,CommentHead,Comment
nokia,Nandha Kumar,5,Awesome,Good voice quality nice battery backup.Good sound qualityWorth for money
nokia,Flipkart Customer,5,Wonderful,Nice 👍
nokia,Divyansh Rai,5,Wonderful,"Great product by flipkart, loved by my father."
nokia,Saravanan S S,5,Excellent,Very good phone
nokia,Flipkart Customer,5,Excellent,"build quality is great(feel😊)speakers are goodwireless FM🤟Memory card 👍, but phone read only mp3. Other formats like aac, m4a, and opus not supportedscreen is okay, but have used nokiaX2-00, that was greatno internet👍no camera👍games are free and unlimited😤"
nokia,MOHIT MITRA,5,Perfect product!,Very nice 💯💯💯💯💯🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂
nokia,Ajeeshkumar T V,5,Wonderful,For my father he like so much. Thank you Flipkart
nokia,RAJAKUMAR M,5,Awesome,Nice product
nokia,Raju Indigimelli,4,Nice product,Super 👌
nokia,Sajal Rajbanshi,3,Fair,Good. Nice looks.Battery backup is low
nokia,No Name,No Rating,No Comment Heading,Good. Nice looks.Battery backup is low
