Product,Name,Rating,CommentHead,Comment
sumsang,Rohan Singh,4,Good quality product,Nice phone and amazing look and UI
sumsang,Sreedharan R,3,Charger ,"Phone looks is very nice, but one thing Phone Charger is necessary, but nowadays Samsung is not provide a charger, its unfair."
sumsang,Biswajit Mahakud,4,Really Nice,Nice product
sumsang,Flipkart Customer,4,Value-for-money,Good product ❤️
sumsang,Flipkart Customer,5,Highly recommended,Awesome thanks to flipkart
sumsang,RITESH  KUMAR ,5,Terrific,Nice phone
sumsang,Kanhu Patra,3,Good,Mobile was ok at this price but why don't you provide charger along with mobile?
sumsang,Flipkart Customer,4,Delightful,Back Camera 8/10Front Camera 7/10Battery  8.5/10Display  9/10Design   8/10Call quality 8/10Performance 8/10Best mobile under 6500 INR from Samsung...
sumsang,Arunsidharth Sidharth,5,Super!,Superb mobile . Performance and camera quality is awesome . I have noticed only drawback in the box not in the adapter for charging . Its must buy us.
sumsang,Flipkart Customer,5,Worth every penny,Nice one 👍
sumsang,No Name,No Rating,No Comment Heading,Nice one 👍
